0 0 -0.622826 -0.836076 -0.896543 -0.918243 -0.812163 -0.598881 -0.462396 -0.155739 0.15818 0.304002 0.548921 0.706683 0.746747 0.745297 0.641018 0.555844 0.33677 0.211321 -0.0483889 -0.289359 -0.3924 -0.547058 -0.619009 -0.621565 -0.561987 -0.42759 -0.338931 -0.135785 0.076411 0.176333 0.346335 0.457851 0.486754 0.486948 0.413843 
0.5 0.309017 -0.236324 -0.63368 -0.755118 -0.890387 -0.891 -0.767702 -0.66641 -0.405294 -0.100339 0.0547726 0.343135 0.570734 0.652303 0.739321 0.720228 0.672702 0.512884 0.407216 0.164696 -0.0893006 -0.209336 -0.415185 -0.554155 -0.593067 -0.605361 -0.533509 -0.469957 -0.30079 -0.0980442 0.0066289 0.203799 0.362056 0.419533 0.481826 0.469312 
1 0.587785 0.242374 -0.298873 -0.499757 -0.765173 -0.880381 -0.86092 -0.804989 -0.615137 -0.349029 -0.199815 0.103761 0.378918 0.494008 0.660976 0.728937 0.723712 0.638795 0.563249 0.361659 0.119499 -0.00578062 -0.24267 -0.435057 -0.506516 -0.589478 -0.587205 -0.554987 -0.436393 -0.263085 -0.16406 0.0404122 0.22897 0.308821 0.426019 0.474741 
1.5 0.809017 0.522826 0.114915 -0.133358 -0.533063 -0.773112 -0.867041 -0.863368 -0.764441 -0.563482 -0.43481 -0.145763 0.150012 0.287355 0.51793 0.666293 0.703879 0.702175 0.664147 0.52322 0.316602 0.19834 -0.0464011 -0.273372 -0.370383 -0.515893 -0.583422 -0.585692 -0.529289 -0.402439 -0.318827 -0.127375 0.0723855 0.166336 0.32588 0.430087 
2 0.951057 0.7521 0.458547 0.252368 -0.203546 -0.5639 -0.778255 -0.831527 -0.837257 -0.722342 -0.627026 -0.380967 -0.0935668 0.0525804 0.324186 0.538427 0.615147 0.696822 0.700034 0.633565 0.482713 0.383047 0.15441 -0.0849282 -0.197995 -0.391809 -0.52253 -0.559066 -0.570378 -0.502421 -0.442432 -0.282888 -0.0918536 0.00668988 0.192088 0.340523 
2.5 1 0.907753 0.694466 0.552914 0.161594 -0.26375 -0.591192 -0.70343 -0.822494 -0.808681 -0.756878 -0.578605 -0.327915 -0.187306 0.0987175 0.357859 0.4662 0.623259 0.667397 0.681893 0.601574 0.530257 0.340106 0.111829 -0.00622519 -0.229371 -0.410489 -0.477714 -0.555635 -0.553227 -0.522743 -0.410784 -0.247366 -0.154059 0.0384428 0.21567 
3 0.951057 0.974549 0.862405 0.761642 0.478114 0.0807869 -0.316678 -0.481387 -0.714018 -0.810453 -0.80939 -0.718533 -0.529844 -0.408687 -0.136368 0.142273 0.271624 0.488689 0.569431 0.663472 0.661547 0.625563 0.49251 0.29764 0.186154 -0.0444816 -0.258266 -0.3496 -0.486502 -0.549881 -0.551889 -0.498494 -0.378775 -0.29993 -0.119529 0.0684795 
3.5 0.809017 0.94595 0.945927 0.895814 0.707967 0.400943 0.00797882 -0.186815 -0.514191 -0.721097 -0.77471 -0.784937 -0.678784 -0.58942 -0.357907 -0.0871834 0.0504902 0.30629 0.415729 0.580106 0.656765 0.659634 0.596704 0.454316 0.36031 0.144762 -0.0807629 -0.187265 -0.369747 -0.492709 -0.527012 -0.537416 -0.473146 -0.416523 -0.266071 -0.0861057 
4 0.587785 0.824754 0.936854 0.942298 0.854949 0.648737 0.325334 0.134921 -0.241383 -0.542479 -0.64965 -0.767185 -0.758191 -0.710547 -0.543736 -0.307886 -0.175464 0.0939458 0.221352 0.439962 0.587695 0.629137 0.642489 0.56652 0.499198 0.319836 0.104646 -0.0065992 -0.216799 -0.387307 -0.450548 -0.523734 -0.521215 -0.492374 -0.386686 -0.232614 
4.5 0.309017 0.622826 0.836076 0.896543 0.918243 0.812163 0.58568 0.429472 0.0662241 -0.290377 -0.441638 -0.66139 -0.756649 -0.757574 -0.674465 -0.497754 -0.383833 -0.12746 0.00538361 0.256773 0.461104 0.537058 0.625383 0.62327 0.58922 0.463602 0.279812 0.174713 -0.042629 -0.243993 -0.329982 -0.458785 -0.518268 -0.520036 -0.469494 -0.356514 
5 5.35898e-08 0.359931 0.653457 0.763028 0.891652 0.891203 0.765976 0.657798 0.359966 0.00248422 -0.173232 -0.473577 -0.669426 -0.72176 -0.734914 -0.637075 -0.553482 -0.335964 -0.210861 0.0485332 0.289403 0.392423 0.547065 0.61901 0.621566 0.561987 0.427588 0.338922 0.135714 -0.0767954 -0.177114 -0.348927 -0.464589 -0.496796 -0.506359 -0.445581 
5.5 -0.309017 0.0618035 0.406873 0.554823 0.777781 0.883006 0.861437 0.80416 0.599019 0.292467 0.118477 -0.223185 -0.501127 -0.602107 -0.715508 -0.710048 -0.666264 -0.510454 -0.40576 -0.164197 0.0894627 0.209427 0.415212 0.554163 0.593071 0.605362 0.533509 0.469956 0.300772 0.0979198 -0.00690931 -0.204914 -0.365434 -0.424927 -0.493663 -0.491056 
6 -0.587785 -0.242374 0.120461 0.292308 0.587775 0.788374 0.870815 0.865188 0.761234 0.538914 0.391046 0.0570729 -0.268485 -0.40807 -0.614136 -0.706275 -0.708538 -0.632426 -0.559243 -0.360154 -0.118967 0.00609073 0.242772 0.435089 0.506533 0.589483 0.587207 0.554988 0.436389 0.26305 0.163972 -0.0408421 -0.230507 -0.311463 -0.432646 -0.488471 
6.5 -0.809017 -0.522826 -0.177742 0.00117968 0.340233 0.61657 0.794953 0.84047 0.839263 0.715321 0.609477 0.32787 -0.000492302 -0.161288 -0.438438 -0.622518 -0.672772 -0.687597 -0.654495 -0.519229 -0.315061 -0.197405 0.0467323 0.273484 0.370447 0.515913 0.583429 0.585695 0.52929 0.402431 0.318802 0.127228 -0.0730167 -0.167511 -0.329278 -0.438073 
7 -0.951056 -0.7521 -0.458547 -0.290064 0.0593869 0.384413 0.641274 0.733481 0.832251 0.810051 0.753213 0.55384 0.266538 0.10632 -0.207312 -0.464709 -0.559395 -0.667508 -0.679561 -0.624215 -0.47876 -0.380541 -0.153448 0.0852776 0.198201 0.391879 0.522553 0.559078 0.570382 0.50242 0.442427 0.282843 0.091621 -0.00716163 -0.193678 -0.344794 
7.5 -1 -0.907753 -0.694466 -0.552914 -0.227272 0.114626 0.424823 0.554694 0.743391 0.820558 0.814254 0.711235 0.497674 0.358993 0.0504088 -0.249282 -0.378538 -0.571274 -0.629014 -0.66245 -0.592537 -0.524271 -0.337609 -0.110849 0.00682701 0.22959 0.410565 0.477758 0.555649 0.553231 0.522745 0.410773 0.24729 0.153889 -0.0391193 -0.217764 
8 -0.951057 -0.974549 -0.862405 -0.761642 -0.491685 -0.166381 0.166788 0.321609 0.581764 0.74952 0.792143 0.788741 0.666974 0.565394 0.301055 -0.00226748 -0.150476 -0.407157 -0.505627 -0.627469 -0.643088 -0.612758 -0.486686 -0.295163 -0.184575 0.0450975 0.258495 0.349737 0.48655 0.549897 0.551898 0.498495 0.378754 0.299876 0.119269 -0.0694183 
8.5 -0.809017 -0.94595 -0.945927 -0.895814 -0.707967 -0.431101 -0.107574 0.0570433 0.363189 0.604978 0.691703 0.784032 0.760085 0.704218 0.513301 0.244782 0.0965521 -0.193054 -0.321516 -0.520588 -0.622961 -0.635037 -0.584467 -0.448663 -0.356563 -0.143188 0.0813891 0.187653 0.369891 0.49276 0.527042 0.537426 0.473144 0.41651 0.265982 0.085723 
9 -0.587785 -0.824754 -0.936854 -0.942298 -0.854949 -0.653623 -0.371406 -0.213106 0.109063 0.401216 0.523473 0.700945 0.772433 0.765025 0.66397 0.461 0.331269 0.0451766 -0.0977618 -0.351995 -0.53209 -0.586613 -0.619269 -0.554834 -0.491132 -0.316178 -0.103084 0.00759994 0.217195 0.387457 0.450639 0.523766 0.521225 0.492376 0.38666 0.232474 
9.5 -0.309017 -0.622826 -0.836076 -0.896543 -0.918243 -0.812163 -0.598881 -0.462396 -0.155739 0.15818 0.304002 0.54892 0.706532 0.746073 0.740102 0.621911 0.525364 0.277826 0.138236 -0.140554 -0.378858 -0.470798 -0.585515 -0.60134 -0.573436 -0.455856 -0.27625 -0.17235 0.0436269 0.244394 0.330232 0.458879 0.518301 0.520056 0.469493 0.356469 
