0 0 0.18541 0.364287 0.530428 0.678079 0.802127 0.898284 0.963228 0.994724 0.991699 0.954276 0.883772 0.782651 0.654438 0.503595 0.335367 0.155599 -0.0294677 -0.21341 -0.389848 -0.552665 -0.696223 -0.815551 -0.906524 -0.966001 -0.991938 -0.983453 -0.940859 -0.865652 -0.76046 -0.628948 -0.475691 -0.306019 -0.125825 0.0586337 0.240957 0.414821 0.5742 0.713574 0.828119 0.913876 0.967885 0.988291 0.974404 0.926725 0.846928 0.737796 0.603133 0.447622 0.276671 0.096217 -0.0874748 -0.268031 -0.43919 -0.595021 -0.730125 -0.839829 -0.920341 -0.968885 -0.983793 
0.5 0.309017 0.479908 0.634058 0.766128 0.871551 0.946684 0.988938 0.996864 0.970208 0.909912 0.818087 0.697935 0.55364 0.390221 0.213356 0.0291876 -0.155891 -0.335461 -0.503295 -0.653578 -0.781108 -0.881473 -0.951206 -0.987906 -0.990317 -0.958376 -0.893209 -0.797095 -0.673385 -0.526385 -0.361207 -0.183591 0.000295084 0.18407 0.361358 0.526013 0.672332 0.795249 0.890513 0.954834 0.985999 0.982946 0.945798 0.875863 0.775586 0.648461 0.498913 0.332141 0.15394 -0.0295021 -0.21182 -0.386689 -0.548049 -0.690309 -0.808546 -0.898671 -0.957574 -0.983229 -0.974764 -0.932491 
1 0.587785 0.727429 0.841762 0.926835 0.97971 0.998573 0.982788 0.932921 0.850721 0.739057 0.601818 0.44378 0.270436 0.0878063 -0.0977682 -0.279849 -0.452122 -0.608617 -0.743914 -0.853332 -0.93309 -0.980438 -0.99375 -0.972585 -0.917694 -0.831002 -0.715532 -0.575306 -0.415202 -0.240783 -0.058109 0.12648 0.30658 0.475946 0.628709 0.75958 0.864031 0.938453 0.980281 0.988083 0.961607 0.901789 0.810724 0.691587 0.548527 0.386519 0.211192 0.0286372 -0.154811 -0.332787 -0.499122 -0.648052 -0.77442 -0.873856 -0.942926 -0.979249 -0.981585 -0.949871 -0.885226 -0.789911 
1.5 0.809017 0.903744 0.96707 0.996816 0.991968 0.952715 0.880436 0.777656 0.647959 0.495857 0.326639 0.146185 -0.0392412 -0.223204 -0.399322 -0.561492 -0.704095 -0.822197 -0.911714 -0.969556 -0.993735 -0.983431 -0.939019 -0.86206 -0.755241 -0.622283 -0.467814 -0.297202 -0.116376 0.0683878 0.250677 0.424171 0.582855 0.721234 0.834519 0.918794 0.971152 0.989794 0.974093 0.924612 0.843085 0.732359 0.596291 0.439614 0.267774 0.0867412 -0.0972009 -0.27767 -0.448408 -0.603497 -0.737567 -0.845979 -0.924986 -0.971864 -0.985005 -0.963971 -0.909512 -0.823533 -0.709036 -0.570008 
2 0.951057 0.991594 0.997714 0.969222 0.907125 0.813598 0.6919 0.54627 0.381771 0.20412 0.0194868 -0.16572 -0.345077 -0.512365 -0.661787 -0.788172 -0.887147 -0.955295 -0.990269 -0.990873 -0.957106 -0.890159 -0.792371 -0.667151 -0.518859 -0.352651 -0.174303 0.00999372 0.193842 0.370865 0.534925 0.68034 0.802076 0.895922 0.95864 0.98807 0.98321 0.944248 0.872554 0.770633 0.642037 0.491241 0.323489 0.144608 -0.0391899 -0.221527 -0.39608 -0.556797 -0.698111 -0.815132 -0.903814 -0.961095 -0.985007 -0.974739 -0.930665 -0.854333 -0.748409 -0.616583 -0.463441 -0.294309 
2.5 1 0.98238 0.930694 0.846753 0.733487 0.59484 0.435637 0.26141 0.078212 -0.107598 -0.289573 -0.461403 -0.617134 -0.751372 -0.859472 -0.9377 -0.983359 -0.994882 -0.971889 -0.915196 -0.826789 -0.709752 -0.568159 -0.406937 -0.231688 -0.0484996 0.13627 0.316212 0.485085 0.637038 0.766811 0.869913 0.942784 0.982911 0.988922 0.960626 0.899025 0.806272 0.685603 0.541219 0.378141 0.202037 0.0190212 -0.164553 -0.342318 -0.508111 -0.656187 -0.78142 -0.879479 -0.946976 -0.981589 -0.982133 -0.94861 -0.8822 -0.785225 -0.661067 -0.514046 -0.349276 -0.172481 0.0101988 
3 0.951057 0.877004 0.772572 0.641399 0.48805 0.317856 0.13673 -0.0490378 -0.233003 -0.408784 -0.570288 -0.711921 -0.828782 -0.91683 -0.973026 -0.99544 -0.983313 -0.937083 -0.858374 -0.749934 -0.61554 -0.459869 -0.288333 -0.106889 0.0781621 0.2604 0.433504 0.591476 0.728844 0.840855 0.923636 0.974334 0.991206 0.973686 0.922402 0.83915 0.726836 0.589373 0.431541 0.258827 0.0772307 -0.106944 -0.287308 -0.457607 -0.611938 -0.744957 -0.852063 -0.929553 -0.974757 -0.986124 -0.963279 -0.907033 -0.819355 -0.703304 -0.562922 -0.403091 -0.229366 -0.0477802 0.135362 0.313708 
3.5 0.809017 0.685781 0.538825 0.37326 0.194839 0.00975737 -0.17556 -0.354686 -0.521409 -0.669955 -0.795179 -0.892751 -0.959303 -0.992542 -0.991334 -0.955739 -0.887013 -0.787556 -0.660836 -0.511263 -0.344038 -0.164972 0.0197182 0.203622 0.380361 0.54381 0.688304 0.808843 0.901259 0.962362 0.990049 0.983379 0.942602 0.86915 0.765591 0.635532 0.4835 0.314781 0.135236 -0.0489008 -0.23124 -0.405457 -0.565514 -0.705866 -0.821657 -0.908882 -0.964532 -0.986695 -0.974619 -0.928743 -0.850677 -0.743146 -0.609897 -0.455565 -0.285516 -0.105657 0.0777671 0.258393 0.429956 0.58651 
4 0.587785 0.427429 0.252334 0.0685836 -0.117445 -0.299296 -0.470666 -0.625615 -0.758777 -0.865546 -0.942232 -0.986193 -0.99592 -0.971097 -0.912602 -0.822484 -0.703886 -0.560937 -0.39861 -0.222546 -0.0388588 0.146074 0.325839 0.494201 0.645328 0.773987 0.875728 0.947035 0.985453 0.989667 0.95955 0.896165 0.801729 0.679535 0.533838 0.369704 0.192836 0.00937689 -0.174306 -0.351842 -0.517075 -0.664281 -0.788363 -0.885031 -0.950946 -0.983839 -0.982587 -0.947252 -0.879079 -0.78045 -0.654805 -0.506515 -0.340737 -0.163232 0.0198381 0.202119 0.377287 0.539273 0.682462 0.8019 
4.5 0.309017 0.127237 -0.0588568 -0.242806 -0.418231 -0.579053 -0.719699 -0.835304 -0.92187 -0.976411 -0.997053 -0.983098 -0.93505 -0.854594 -0.744539 -0.608718 -0.451858 -0.27941 -0.0973656 0.0879559 0.270124 0.442822 0.600064 0.736405 0.847126 0.928402 0.977429 0.992524 0.973184 0.920096 0.835122 0.721227 0.582377 0.423403 0.24983 0.0676864 -0.116704 -0.296945 -0.466786 -0.620342 -0.752295 -0.85808 -0.934042 -0.977563 -0.98715 -0.962491 -0.904459 -0.815085 -0.697488 -0.555762 -0.394835 -0.220302 -0.0382238 0.14508 0.32325 0.49011 0.639876 0.767364 0.868164 0.938794 
5 5.35898e-08 -0.18541 -0.364287 -0.530428 -0.678079 -0.802127 -0.898284 -0.963228 -0.994724 -0.991699 -0.954276 -0.883772 -0.782651 -0.654438 -0.503595 -0.335367 -0.155599 0.0294676 0.21341 0.389848 0.552665 0.696223 0.815551 0.906524 0.966001 0.991938 0.983453 0.940859 0.865652 0.76046 0.628948 0.475691 0.306019 0.125825 -0.0586336 -0.240957 -0.414821 -0.5742 -0.713574 -0.828119 -0.913876 -0.967885 -0.98829 -0.974404 -0.926725 -0.846928 -0.737796 -0.603133 -0.447622 -0.276671 -0.096217 0.0874749 0.268031 0.43919 0.595021 0.730126 0.83983 0.920341 0.968885 0.983793 
5.5 -0.309017 -0.479908 -0.634057 -0.766128 -0.871551 -0.946684 -0.988938 -0.996864 -0.970208 -0.909912 -0.818087 -0.697935 -0.553641 -0.390221 -0.213356 -0.0291876 0.155891 0.335461 0.503295 0.653578 0.781108 0.881472 0.951206 0.987906 0.990317 0.958376 0.893209 0.797095 0.673385 0.526385 0.361207 0.183591 -0.000295031 -0.184069 -0.361358 -0.526013 -0.672332 -0.795249 -0.890512 -0.954834 -0.985999 -0.982946 -0.945798 -0.875863 -0.775586 -0.648461 -0.498913 -0.332141 -0.15394 0.0295021 0.21182 0.386689 0.548049 0.69031 0.808546 0.898672 0.957574 0.983229 0.974764 0.932491 
6 -0.587785 -0.727429 -0.841762 -0.926835 -0.97971 -0.998573 -0.982788 -0.932921 -0.850721 -0.739057 -0.601818 -0.44378 -0.270436 -0.0878063 0.0977681 0.279849 0.452122 0.608617 0.743914 0.853332 0.93309 0.980438 0.99375 0.972585 0.917694 0.831002 0.715532 0.575306 0.415202 0.240783 0.058109 -0.12648 -0.30658 -0.475946 -0.628709 -0.75958 -0.864031 -0.938453 -0.980281 -0.988083 -0.961607 -0.901789 -0.810724 -0.691587 -0.548527 -0.386519 -0.211192 -0.0286371 0.154811 0.332787 0.499122 0.648052 0.77442 0.873856 0.942926 0.979249 0.981585 0.949871 0.885226 0.789911 
6.5 -0.809017 -0.903744 -0.96707 -0.996816 -0.991968 -0.952715 -0.880436 -0.777656 -0.647959 -0.495857 -0.326639 -0.146185 0.0392411 0.223203 0.399322 0.561492 0.704095 0.822197 0.911714 0.969556 0.993735 0.983431 0.939019 0.86206 0.755241 0.622283 0.467814 0.297202 0.116376 -0.0683877 -0.250677 -0.424171 -0.582855 -0.721234 -0.834519 -0.918794 -0.971152 -0.989794 -0.974093 -0.924612 -0.843085 -0.732359 -0.596291 -0.439614 -0.267774 -0.0867412 0.097201 0.27767 0.448408 0.603497 0.737567 0.845979 0.924986 0.971864 0.985005 0.963971 0.909512 0.823533 0.709036 0.570008 
7 -0.951056 -0.991594 -0.997714 -0.969222 -0.907125 -0.813598 -0.6919 -0.54627 -0.381771 -0.20412 -0.0194869 0.16572 0.345077 0.512365 0.661787 0.788172 0.887147 0.955295 0.990269 0.990873 0.957106 0.890159 0.792371 0.667151 0.518859 0.352652 0.174303 -0.00999366 -0.193842 -0.370864 -0.534925 -0.68034 -0.802076 -0.895922 -0.95864 -0.98807 -0.98321 -0.944248 -0.872554 -0.770633 -0.642037 -0.491241 -0.323489 -0.144608 0.03919 0.221527 0.39608 0.556797 0.698111 0.815132 0.903814 0.961095 0.985007 0.974739 0.930665 0.854333 0.748409 0.616582 0.463441 0.294309 
7.5 -1 -0.98238 -0.930694 -0.846753 -0.733487 -0.59484 -0.435637 -0.26141 -0.0782121 0.107598 0.289573 0.461403 0.617134 0.751372 0.859472 0.9377 0.983359 0.994882 0.971889 0.915196 0.826789 0.709752 0.568159 0.406937 0.231688 0.0484996 -0.13627 -0.316211 -0.485085 -0.637038 -0.766811 -0.869913 -0.942784 -0.982911 -0.988922 -0.960626 -0.899025 -0.806272 -0.685603 -0.541219 -0.378141 -0.202037 -0.0190212 0.164553 0.342318 0.508111 0.656187 0.78142 0.879479 0.946977 0.981589 0.982133 0.948609 0.8822 0.785225 0.661067 0.514046 0.349276 0.172481 -0.0101989 
8 -0.951057 -0.877004 -0.772572 -0.641399 -0.48805 -0.317856 -0.13673 0.0490378 0.233003 0.408784 0.570288 0.711921 0.828782 0.91683 0.973026 0.99544 0.983313 0.937083 0.858374 0.749934 0.61554 0.459869 0.288333 0.106889 -0.0781621 -0.2604 -0.433504 -0.591476 -0.728844 -0.840855 -0.923636 -0.974334 -0.991206 -0.973686 -0.922402 -0.83915 -0.726836 -0.589373 -0.431541 -0.258827 -0.0772306 0.106944 0.287308 0.457607 0.611938 0.744957 0.852063 0.929553 0.974757 0.986124 0.963279 0.907033 0.819355 0.703304 0.562922 0.403091 0.229366 0.0477802 -0.135362 -0.313708 
8.5 -0.809017 -0.685781 -0.538825 -0.37326 -0.194839 -0.00975742 0.17556 0.354686 0.521409 0.669954 0.795179 0.892751 0.959303 0.992542 0.991334 0.955739 0.887013 0.787556 0.660836 0.511263 0.344038 0.164972 -0.0197181 -0.203622 -0.380361 -0.543809 -0.688304 -0.808843 -0.901259 -0.962362 -0.990049 -0.983379 -0.942602 -0.86915 -0.765591 -0.635532 -0.4835 -0.314781 -0.135236 0.0489008 0.23124 0.405457 0.565514 0.705867 0.821657 0.908882 0.964532 0.986695 0.974619 0.928743 0.850677 0.743146 0.609896 0.455565 0.285516 0.105657 -0.0777671 -0.258393 -0.429956 -0.58651 
9 -0.587785 -0.427429 -0.252334 -0.0685837 0.117445 0.299296 0.470666 0.625614 0.758777 0.865546 0.942232 0.986193 0.99592 0.971097 0.912602 0.822484 0.703886 0.560937 0.39861 0.222546 0.0388589 -0.146074 -0.325839 -0.494201 -0.645328 -0.773987 -0.875728 -0.947035 -0.985453 -0.989667 -0.95955 -0.896165 -0.801729 -0.679535 -0.533838 -0.369704 -0.192836 -0.00937685 0.174306 0.351842 0.517075 0.664281 0.788364 0.885031 0.950946 0.983839 0.982587 0.947252 0.879079 0.78045 0.654804 0.506515 0.340737 0.163231 -0.0198382 -0.202119 -0.377287 -0.539272 -0.682462 -0.8019 
9.5 -0.309017 -0.127237 0.0588568 0.242806 0.418231 0.579053 0.719699 0.835304 0.92187 0.976411 0.997053 0.983098 0.93505 0.854594 0.744539 0.608718 0.451858 0.27941 0.0973656 -0.0879558 -0.270124 -0.442822 -0.600064 -0.736405 -0.847126 -0.928402 -0.977429 -0.992524 -0.973184 -0.920096 -0.835122 -0.721227 -0.582377 -0.423403 -0.24983 -0.0676863 0.116705 0.296945 0.466787 0.620342 0.752295 0.85808 0.934042 0.977563 0.98715 0.962491 0.904459 0.815085 0.697488 0.555761 0.394835 0.220302 0.0382237 -0.14508 -0.32325 -0.49011 -0.639876 -0.767364 -0.868164 -0.938794 
10 -1.0718e-07 0.18541 0.364287 0.530428 0.678079 0.802127 0.898284 0.963228 0.994724 0.991699 0.954276 0.883772 0.782651 0.654438 0.503595 0.335367 0.155599 -0.0294676 -0.21341 -0.389848 -0.552665 -0.696223 -0.815551 -0.906524 -0.966001 -0.991938 -0.983453 -0.940859 -0.865652 -0.76046 -0.628948 -0.475691 -0.306019 -0.125825 0.0586337 0.240957 0.414821 0.574201 0.713574 0.828119 0.913876 0.967885 0.988291 0.974404 0.926725 0.846928 0.737796 0.603132 0.447622 0.276671 0.0962169 -0.0874749 -0.268031 -0.43919 -0.595021 -0.730125 -0.839829 -0.920341 -0.968885 -0.983793 
10.5 0.309017 0.479908 0.634057 0.766128 0.871551 0.946684 0.988938 0.996864 0.970208 0.909912 0.818087 0.697935 0.553641 0.390221 0.213356 0.0291877 -0.155891 -0.335461 -0.503295 -0.653578 -0.781108 -0.881472 -0.951206 -0.987906 -0.990317 -0.958376 -0.893209 -0.797095 -0.673385 -0.526385 -0.361207 -0.183591 0.000295079 0.18407 0.361358 0.526013 0.672332 0.795249 0.890513 0.954834 0.985999 0.982946 0.945798 0.875863 0.775586 0.648461 0.498913 0.332141 0.15394 -0.0295022 -0.21182 -0.386689 -0.548049 -0.69031 -0.808546 -0.898672 -0.957574 -0.983229 -0.974764 -0.932491 
11 0.587785 0.727429 0.841762 0.926834 0.97971 0.998573 0.982788 0.932921 0.850721 0.739057 0.601818 0.44378 0.270436 0.0878064 -0.0977681 -0.279849 -0.452122 -0.608617 -0.743914 -0.853332 -0.93309 -0.980438 -0.99375 -0.972585 -0.917694 -0.831002 -0.715532 -0.575306 -0.415202 -0.240783 -0.058109 0.12648 0.30658 0.475946 0.62871 0.75958 0.864031 0.938453 0.980281 0.988083 0.961607 0.901789 0.810724 0.691587 0.548527 0.386519 0.211192 0.0286371 -0.154811 -0.332787 -0.499122 -0.648052 -0.77442 -0.873856 -0.942926 -0.979249 -0.981585 -0.949871 -0.885226 -0.789911 
11.5 0.809017 0.903744 0.96707 0.996816 0.991968 0.952715 0.880436 0.777656 0.647959 0.495857 0.32664 0.146185 -0.039241 -0.223203 -0.399322 -0.561492 -0.704095 -0.822197 -0.911714 -0.969556 -0.993735 -0.983431 -0.939019 -0.86206 -0.755241 -0.622284 -0.467814 -0.297202 -0.116376 0.0683878 0.250677 0.424171 0.582855 0.721234 0.834519 0.918794 0.971152 0.989794 0.974093 0.924612 0.843085 0.732359 0.596291 0.439614 0.267774 0.0867411 -0.097201 -0.27767 -0.448408 -0.603497 -0.737567 -0.845979 -0.924986 -0.971864 -0.985005 -0.963971 -0.909512 -0.823533 -0.709036 -0.570008 
12 0.951056 0.991594 0.997714 0.969222 0.907126 0.813598 0.6919 0.54627 0.381771 0.20412 0.0194869 -0.16572 -0.345077 -0.512364 -0.661787 -0.788172 -0.887147 -0.955295 -0.990269 -0.990873 -0.957106 -0.890159 -0.792371 -0.667151 -0.518859 -0.352652 -0.174303 0.00999371 0.193842 0.370865 0.534925 0.68034 0.802076 0.895922 0.95864 0.98807 0.98321 0.944248 0.872554 0.770633 0.642037 0.491241 0.323489 0.144608 -0.03919 -0.221527 -0.39608 -0.556797 -0.698111 -0.815132 -0.903814 -0.961095 -0.985007 -0.974739 -0.930665 -0.854333 -0.748409 -0.616582 -0.463441 -0.294309 
12.5 1 0.98238 0.930694 0.846753 0.733487 0.594841 0.435637 0.26141 0.0782121 -0.107598 -0.289573 -0.461403 -0.617134 -0.751372 -0.859472 -0.9377 -0.983359 -0.994882 -0.971889 -0.915196 -0.826789 -0.709752 -0.568159 -0.406937 -0.231688 -0.0484996 0.13627 0.316212 0.485085 0.637039 0.766811 0.869914 0.942784 0.982911 0.988922 0.960626 0.899025 0.806272 0.685603 0.541219 0.378141 0.202037 0.0190211 -0.164553 -0.342318 -0.508111 -0.656187 -0.78142 -0.879479 -0.946977 -0.981589 -0.982133 -0.948609 -0.8822 -0.785225 -0.661067 -0.514046 -0.349276 -0.172481 0.0101988 
