0 0 0.312107 0.593049 0.814757 0.955079 0.999991 0.945004 0.795604 0.566713 0.281194 -0.0324307 -0.342831 -0.618997 -0.833336 -0.964433 -0.999185 -0.934117 -0.775724 -0.539826 -0.249986 0.0648433 0.37321 0.644306 0.851048 0.972777 0.997328 0.922243 0.755019 0.512358 0.218499 -0.0972036 -0.403211 -0.668951 -0.867873 -0.980102 
0.5 0.309017 0.59042 0.812852 0.954088 1.00001 0.946037 0.797546 0.569369 0.284299 -0.0291879 -0.339774 -0.61643 -0.831517 -0.963542 -0.999313 -0.935251 -0.77775 -0.542542 -0.25312 0.0616038 0.370188 0.641805 0.849316 0.971988 0.997561 0.923475 0.757127 0.515131 0.221659 -0.0939709 -0.400229 -0.666517 -0.866231 -0.979415 -0.994758 
1 0.587785 0.810939 0.953087 1.00003 0.947061 0.799479 0.572018 0.2874 -0.0259449 -0.336713 -0.613858 -0.829689 -0.962642 -0.999431 -0.936374 -0.779767 -0.545251 -0.256251 0.0583639 0.367163 0.639297 0.847576 0.971189 0.997783 0.924696 0.759226 0.517897 0.224817 -0.0907374 -0.397242 -0.664076 -0.86458 -0.978719 -0.995086 -0.912041 
1.5 0.809017 0.952077 1.00003 0.948075 0.801403 0.574662 0.290498 -0.0227019 -0.333649 -0.611278 -0.827853 -0.961732 -0.999537 -0.937487 -0.781776 -0.547955 -0.259379 0.0551235 0.364134 0.636782 0.845827 0.97038 0.997995 0.925908 0.761316 0.520658 0.227972 -0.087503 -0.394252 -0.661629 -0.86292 -0.978012 -0.995403 -0.91335 -0.740046 
2 0.951057 1.00002 0.949079 0.80332 0.577299 0.293592 -0.0194587 -0.330581 -0.608693 -0.826007 -0.960812 -0.999634 -0.938591 -0.783776 -0.550652 -0.262504 0.0518826 0.361102 0.634261 0.844069 0.969561 0.998197 0.927111 0.763399 0.523414 0.231125 -0.0842679 -0.391258 -0.659175 -0.861251 -0.977295 -0.995709 -0.914649 -0.742209 -0.495611 
2.5 1 0.950073 0.805227 0.57993 0.296684 -0.0162155 -0.32751 -0.606101 -0.824154 -0.959881 -0.99972 -0.939685 -0.785769 -0.553344 -0.265627 0.0486414 0.358066 0.631733 0.842302 0.968731 0.998388 0.928303 0.765474 0.526163 0.234275 -0.0810321 -0.388259 -0.656713 -0.859573 -0.976567 -0.996005 -0.915939 -0.744364 -0.498416 -0.202662 
3 0.951057 0.807126 0.582555 0.299772 -0.0129723 -0.324436 -0.603503 -0.822291 -0.958941 -0.999795 -0.940768 -0.787752 -0.55603 -0.268746 0.0453998 0.355026 0.629199 0.840526 0.967892 0.998568 0.929486 0.76754 0.528907 0.237423 -0.0777956 -0.385257 -0.654246 -0.857885 -0.97583 -0.996291 -0.91722 -0.746511 -0.501215 -0.205834 0.110126 
3.5 0.809017 0.585173 0.302857 -0.00972907 -0.321359 -0.600899 -0.820421 -0.95799 -0.99986 -0.941842 -0.789728 -0.55871 -0.271863 0.0421579 0.351983 0.626658 0.838742 0.967042 0.998738 0.930658 0.769599 0.531646 0.240568 -0.0745584 -0.382251 -0.651771 -0.856189 -0.975082 -0.996566 -0.91849 -0.74865 -0.504009 -0.209004 0.106897 0.412133 
4 0.587785 0.305939 -0.00648592 -0.318278 -0.598288 -0.818541 -0.95703 -0.999914 -0.942906 -0.791695 -0.561384 -0.274976 0.0389158 0.348936 0.624111 0.836948 0.966183 0.998898 0.931821 0.771649 0.534378 0.24371 -0.0713206 -0.379241 -0.649289 -0.854484 -0.974324 -0.99683 -0.919751 -0.750781 -0.506798 -0.212171 0.103667 0.409163 0.673798 
4.5 0.309017 -0.00324287 -0.315194 -0.595672 -0.816653 -0.956059 -0.999958 -0.94396 -0.793654 -0.564051 -0.278087 0.0356733 0.345885 0.621557 0.835147 0.965313 0.999047 0.932974 0.773691 0.537105 0.246849 -0.0680822 -0.376227 -0.646801 -0.852771 -0.973555 -0.997084 -0.921002 -0.752904 -0.509581 -0.215336 0.100436 0.406189 0.671378 0.869506 
5 5.35898e-08 -0.312107 -0.593049 -0.814757 -0.955079 -0.999991 -0.945004 -0.795604 -0.566713 -0.281194 0.0324307 0.342831 0.618997 0.833336 0.964433 0.999185 0.934117 0.775725 0.539826 0.249986 -0.0648433 -0.37321 -0.644306 -0.851048 -0.972777 -0.997328 -0.922243 -0.75502 -0.512359 -0.218499 0.0972039 0.403211 0.668951 0.867873 0.980102 
5.5 -0.309017 -0.59042 -0.812852 -0.954088 -1.00001 -0.946037 -0.797546 -0.569369 -0.284299 0.0291879 0.339774 0.61643 0.831517 0.963542 0.999313 0.935251 0.77775 0.542542 0.25312 -0.0616038 -0.370188 -0.641805 -0.849316 -0.971988 -0.997561 -0.923475 -0.757127 -0.515131 -0.221659 0.0939712 0.400229 0.666517 0.866231 0.979415 0.994758 
6 -0.587785 -0.810939 -0.953087 -1.00003 -0.947061 -0.799479 -0.572018 -0.2874 0.0259449 0.336713 0.613857 0.829689 0.962642 0.999431 0.936374 0.779767 0.545251 0.256251 -0.0583638 -0.367163 -0.639297 -0.847576 -0.971189 -0.997783 -0.924696 -0.759226 -0.517897 -0.224817 0.0907376 0.397242 0.664077 0.86458 0.978719 0.995086 0.91204 
