0 0 -0.476278 -0.622826 -0.743983 -0.836076 -0.896543 -0.923996 -0.918243 -0.880267 -0.812163 -0.717039 -0.598881 -0.462396 -0.312822 -0.155739 0.0031424 0.15818 0.304002 0.435685 0.548921 0.640153 0.706683 0.746747 0.759556 0.745297 0.705109 0.641018 0.555844 0.453083 0.33677 0.211321 0.0813736 -0.0483889 -0.173398 -0.289359 -0.3924 -0.479192 -0.547058 -0.594052 -0.619009 -0.621565 -0.602158 -0.561987 -0.502956 -0.42759 -0.338931 -0.240423 -0.135785 -0.0288821 0.076411 0.176333 0.267364 0.346335 0.410545 0.457851 0.486754 0.496466 0.486948 0.458921 0.413843 
0.5 0.309017 0.123607 -0.236324 -0.468225 -0.63368 -0.755118 -0.839973 -0.890387 -0.9071 -0.891 -0.843698 -0.767702 -0.66641 -0.544001 -0.405294 -0.255561 -0.100339 0.0547726 0.20431 0.343135 0.466606 0.570734 0.652303 0.70897 0.739321 0.742907 0.720228 0.672702 0.602587 0.512884 0.407216 0.289679 0.164696 0.036845 -0.0893006 -0.209336 -0.319174 -0.415185 -0.494309 -0.554155 -0.593067 -0.610166 -0.605361 -0.579337 -0.533509 -0.469957 -0.391341 -0.30079 -0.201787 -0.0980442 0.0066289 0.108452 0.203799 0.289321 0.362056 0.419533 0.459866 0.481826 0.484899 0.469312 
1 0.587785 0.420524 0.242374 -0.044845 -0.298873 -0.499757 -0.652973 -0.765173 -0.840301 -0.880381 -0.886752 -0.86092 -0.804989 -0.721842 -0.615137 -0.489231 -0.349029 -0.199815 -0.0470624 0.103761 0.247385 0.378918 0.494008 0.588985 0.660976 0.707983 0.728937 0.723712 0.693106 0.638795 0.563249 0.469629 0.361659 0.243481 0.119499 -0.00578062 -0.127914 -0.24267 -0.346179 -0.435057 -0.506516 -0.558447 -0.589478 -0.599008 -0.587205 -0.554987 -0.503969 -0.436393 -0.355031 -0.263085 -0.16406 -0.0616468 0.0404122 0.138444 0.22897 0.308821 0.375248 0.426019 0.459503 0.474741 
1.5 0.809017 0.676278 0.522826 0.354555 0.114915 -0.133358 -0.353197 -0.533063 -0.672329 -0.773112 -0.837473 -0.867041 -0.863368 -0.828341 -0.764441 -0.674859 -0.563482 -0.43481 -0.293813 -0.145763 0.00395156 0.150012 0.287355 0.411347 0.51793 0.603757 0.666293 0.703879 0.715779 0.702175 0.664147 0.603608 0.52322 0.426284 0.316602 0.19834 0.0758678 -0.0464011 -0.164162 -0.273372 -0.370383 -0.452063 -0.515893 -0.560044 -0.583422 -0.585692 -0.567269 -0.529289 -0.473551 -0.402439 -0.318827 -0.225967 -0.127375 -0.0267026 0.0723855 0.166336 0.251827 0.32588 0.385963 0.430087 
2 0.951057 0.865833 0.7521 0.614535 0.458547 0.252368 0.0209323 -0.203546 -0.401256 -0.5639 -0.689427 -0.778255 -0.831527 -0.850631 -0.837257 -0.793568 -0.722342 -0.627026 -0.511697 -0.380967 -0.239844 -0.0935668 0.0525804 0.193445 0.324186 0.440432 0.538427 0.615147 0.668386 0.696822 0.700034 0.678502 0.633565 0.567358 0.482713 0.383047 0.272223 0.15441 0.0339233 -0.0849282 -0.197995 -0.301428 -0.391809 -0.466259 -0.52253 -0.559066 -0.575041 -0.570378 -0.545725 -0.502421 -0.442432 -0.368269 -0.282888 -0.18958 -0.0918536 0.00668988 0.102478 0.192088 0.272363 0.340523 
2.5 1 0.970634 0.907753 0.814361 0.694466 0.552914 0.372586 0.161594 -0.0574898 -0.26375 -0.44384 -0.591192 -0.70343 -0.780288 -0.822494 -0.831352 -0.808681 -0.756878 -0.678967 -0.578605 -0.460022 -0.327915 -0.187306 -0.0433742 0.0987175 0.233999 0.357859 0.4662 0.555568 0.623259 0.667397 0.686979 0.681893 0.652896 0.601574 0.530257 0.441931 0.340106 0.228688 0.111829 -0.00622519 -0.121287 -0.229371 -0.326834 -0.410489 -0.477714 -0.526525 -0.555635 -0.564481 -0.553227 -0.522743 -0.474556 -0.410784 -0.334046 -0.247366 -0.154059 -0.0576096 0.0384428 0.13063 0.21567 
3 0.951057 0.980423 0.974549 0.934472 0.862405 0.761642 0.636405 0.478114 0.288202 0.0807869 -0.125935 -0.316678 -0.481387 -0.614613 -0.714018 -0.779104 -0.810453 -0.80939 -0.777883 -0.718533 -0.634576 -0.529844 -0.408687 -0.275858 -0.136368 0.00468337 0.142273 0.271624 0.38837 0.488689 0.569431 0.62821 0.663472 0.674524 0.661547 0.625563 0.56838 0.49251 0.401068 0.29764 0.186154 0.0707263 -0.0444816 -0.155415 -0.258266 -0.3496 -0.426468 -0.486502 -0.527982 -0.549881 -0.551889 -0.534401 -0.498494 -0.445868 -0.378775 -0.29993 -0.212407 -0.119529 -0.0247457 0.0684795 
3.5 0.809017 0.894241 0.94595 0.96311 0.945927 0.895814 0.815311 0.707967 0.570055 0.400943 0.208849 0.00797882 -0.186815 -0.363558 -0.514191 -0.634087 -0.721097 -0.77471 -0.795518 -0.784937 -0.745095 -0.678784 -0.58942 -0.48098 -0.357907 -0.224984 -0.0871834 0.0504902 0.183171 0.30629 0.415729 0.50795 0.580106 0.630125 0.656765 0.659634 0.639192 0.596704 0.534188 0.454316 0.36031 0.255816 0.144762 0.031216 -0.0807629 -0.187265 -0.284666 -0.369747 -0.4398 -0.492709 -0.527012 -0.541938 -0.537416 -0.514063 -0.473146 -0.416523 -0.346567 -0.266071 -0.178146 -0.0861057 
4 0.587785 0.720524 0.824754 0.897472 0.936854 0.942298 0.914408 0.854949 0.76676 0.648737 0.500061 0.325334 0.134921 -0.0581207 -0.241383 -0.405068 -0.542479 -0.64965 -0.724686 -0.767185 -0.777836 -0.758191 -0.710547 -0.63787 -0.543736 -0.432239 -0.307886 -0.175464 -0.0398916 0.0939458 0.221352 0.337979 0.439962 0.524048 0.587695 0.629137 0.647435 0.642489 0.615018 0.56652 0.499198 0.415865 0.319836 0.214792 0.104646 -0.0065992 -0.114999 -0.216799 -0.308568 -0.387307 -0.450548 -0.496427 -0.523734 -0.531943 -0.521215 -0.492374 -0.446863 -0.386686 -0.314317 -0.232614 
4.5 0.309017 0.476278 0.622826 0.743983 0.836076 0.896543 0.923996 0.918243 0.880267 0.812163 0.714107 0.58568 0.429472 0.252741 0.0662241 -0.11834 -0.290377 -0.441638 -0.566445 -0.66139 -0.724867 -0.756649 -0.757574 -0.729358 -0.674465 -0.596028 -0.497754 -0.383833 -0.258812 -0.12746 0.00538361 0.134965 0.256773 0.366686 0.461104 0.537058 0.592305 0.625383 0.635647 0.62327 0.58922 0.535207 0.463602 0.377342 0.279812 0.174713 0.0659255 -0.042629 -0.147131 -0.243993 -0.329982 -0.402322 -0.458785 -0.497754 -0.518268 -0.520036 -0.503439 -0.469494 -0.419809 -0.356514 
