0 0 -0.615662 -0.852688 -0.991271 -1.01394 -0.916753 -0.709939 -0.416811 -0.0711582 0.286645 0.614349 0.872816 1.03069 1.06818 0.979559 0.773961 0.474478 0.115573 -0.260887 -0.610499 -0.891567 -1.07006 -1.12373 -1.04489 -0.841433 -0.536125 -0.164029 0.231502 0.603871 0.908726 1.10923 1.18051 
0.5 0.309017 -0.0309017 -0.674138 -0.870543 -1.00334 -1.015 -0.906928 -0.69024 -0.389468 -0.0393272 0.319242 0.64386 0.895712 1.04419 1.07058 0.970457 0.754311 0.446495 0.0824803 -0.295223 -0.642027 -0.916521 -1.08541 -1.12757 -1.03662 -0.821914 -0.507546 -0.129677 0.26762 0.637497 0.935849 1.12657 
1 0.587785 0.28114 -0.0621059 -0.735342 -0.884063 -1.01527 -1.01497 -0.896124 -0.669652 -0.36145 -0.00711496 0.351877 0.673058 0.917977 1.05681 1.07196 0.960307 0.733712 0.417773 0.0489509 -0.329641 -0.673265 -0.940846 -1.09987 -1.13034 -1.02725 -0.801381 -0.478162 -0.0948287 0.303864 0.67086 0.962348 
1.5 0.809017 0.565662 0.252688 -0.0935853 -0.799517 -0.892518 -1.02755 -1.01371 -0.884366 -0.64818 -0.332777 0.0254512 0.38452 0.701912 0.939584 1.06853 1.0723 0.949107 0.712172 0.388334 0.0150127 -0.364106 -0.704181 -0.964513 -1.11341 -1.13203 -1.01677 -0.779842 -0.447995 -0.0595121 0.340202 0.703926 
2 0.951057 0.794813 0.542747 0.223682 -0.125312 -0.866938 -0.895076 -1.04079 -1.011 -0.871702 -0.625828 -0.303471 0.0583435 0.417138 0.730389 0.960504 1.07933 1.0716 0.936858 0.689703 0.358197 -0.0193057 -0.398586 -0.734741 -0.98749 -1.126 -1.13263 -1.00518 -0.757308 -0.417063 -0.023757 0.376598 
2.5 1 0.946162 0.779678 0.519054 0.194145 -0.157258 -0.937906 -0.890793 -1.05579 -1.00652 -0.85822 -0.602589 -0.27356 0.0915338 0.449698 0.758458 0.980708 1.08919 1.06984 0.92356 0.666318 0.327385 -0.0539747 -0.433047 -0.76491 -1.00975 -1.13762 -1.13213 -0.99249 -0.733789 -0.385391 0.0124064 
3 0.951057 1.00489 0.940289 0.763617 0.494598 0.1641 -0.189393 -1.01276 -0.878596 -1.07351 -0.999824 -0.84406 -0.578442 -0.243072 0.124994 0.482169 0.786087 1.00017 1.0981 1.06701 0.909215 0.642028 0.29592 -0.0889642 -0.467456 -0.794656 -1.03126 -1.14826 -1.13052 -0.978687 -0.7093 -0.353 
3.5 0.809017 0.96526 1.00886 0.933432 0.746636 0.469394 0.13357 -0.22169 -1.09186 -0.85727 -1.09514 -0.990292 -0.829436 -0.553342 -0.212044 0.158698 0.514516 0.813244 1.01886 1.10602 1.06311 0.893825 0.616848 0.263827 -0.124243 -0.501777 -0.823943 -1.05199 -1.15789 -1.12778 -0.963777 -0.683852 
4 0.587785 0.83114 0.978673 1.01188 0.925588 0.72874 0.443459 0.102581 -0.254117 -1.17564 -0.825433 -1.12211 -0.977111 -0.814669 -0.52721 -0.180528 0.192621 0.546705 0.839898 1.03676 1.11294 1.05813 0.877395 0.590794 0.231131 -0.159781 -0.535977 -0.85274 -1.07191 -1.16649 -1.12391 -0.947764 
4.5 0.309017 0.615662 0.852688 0.991271 1.01394 0.916753 0.709939 0.416811 0.0711584 -0.286644 -1.26454 -0.781522 -1.15617 -0.959205 -0.800215 -0.499909 -0.14859 0.226742 0.578701 0.866018 1.05383 1.11886 1.05206 0.859929 0.56388 0.197856 -0.195544 -0.57002 -0.881012 -1.091 -1.17403 -1.1189 
5 5.35898e-08 0.339919 0.643236 0.873633 1.00303 1.01503 0.906925 0.69024 0.389468 0.0393274 -0.319242 -1.35907 -0.723768 -1.19941 -0.935185 -0.786718 -0.471228 -0.116326 0.261049 0.610467 0.891573 1.07006 1.12374 1.04489 0.841433 0.536125 0.164029 -0.231502 -0.603872 -0.908726 -1.10923 -1.18051 
5.5 -0.309017 0.0309018 0.37082 0.670478 0.893949 1.01394 1.01514 0.896104 0.669654 0.36145 0.00711516 -0.351877 -1.45979 -0.650166 -1.25433 -0.90327 -0.775063 -0.440845 -0.0838741 0.295541 0.641959 0.916534 1.08541 1.12757 1.03662 0.821914 0.507546 0.129677 -0.26762 -0.637497 -0.935849 -1.12657 
6 -0.587785 -0.28114 0.0621059 0.401692 0.697357 0.913608 1.02398 1.01425 0.88429 0.648191 0.332775 -0.0254509 -0.38452 -1.56731 -0.558451 -1.32392 -0.861205 -0.766449 -0.408284 -0.0514331 0.330238 0.673131 0.940875 1.09987 1.13034 1.02725 0.801381 0.478162 0.0948286 -0.303865 -0.67086 -0.962348 
6.5 -0.809017 -0.565662 -0.252688 0.0935853 0.432503 0.723842 0.932584 1.03312 1.01236 0.871482 0.625861 0.303467 -0.0583426 -0.417138 -1.68233 -0.446063 -1.41171 -0.806155 -0.762478 -0.372865 -0.0192899 0.365191 0.703925 0.96457 1.1134 1.13203 1.01677 0.779842 0.447994 0.059512 -0.340202 -0.703926 
7 -0.951056 -0.794813 -0.542747 -0.223682 0.125312 0.463222 0.749904 0.950852 1.04134 1.00947 0.857684 0.602679 0.273546 -0.0915315 -0.449698 -1.80559 -0.31011 -1.52187 -0.734584 -0.765268 -0.333625 0.0121436 0.400496 0.734268 0.9876 1.12597 1.13264 1.00518 0.757308 0.417063 0.0237569 -0.376598 
7.5 -1 -0.946162 -0.779678 -0.519054 -0.194145 0.157258 0.493818 0.775513 0.968386 1.04864 1.00555 0.842897 0.578657 0.243034 -0.124988 -0.482169 -1.93794 -0.147328 -1.65932 -0.64211 -0.777584 -0.289229 0.0422808 0.436317 0.764063 1.00995 1.13758 1.13214 0.992488 0.73379 0.38539 -0.0124064 
8 -0.951057 -1.00489 -0.940289 -0.763617 -0.494597 -0.1641 0.189393 0.52426 0.800638 0.985161 1.05499 1.00061 0.827126 0.55381 0.211957 -0.158683 -0.514518 -2.08028 0.0459671 -1.82985 -0.523336 -0.803008 -0.237851 0.070294 0.47292 0.793178 1.03163 1.14817 1.13054 0.978682 0.7093 0.352999 
8.5 -0.809017 -0.96526 -1.00886 -0.933432 -0.746635 -0.469394 -0.13357 0.22169 0.554517 0.82525 1.00115 1.06037 0.99463 0.810376 0.528154 0.180337 -0.192585 -0.546711 -2.23363 0.273927 -2.04023 -0.371647 -0.846144 -0.177021 0.0950255 0.510709 0.821424 1.05265 1.15772 1.12782 0.963768 0.683854 
9 -0.587785 -0.83114 -0.978673 -1.01188 -0.925588 -0.72874 -0.443459 -0.102581 0.254117 0.584558 0.849319 1.01634 1.06477 0.987616 0.792652 0.501704 0.1482 -0.226663 -0.578716 -2.39913 0.541233 -2.29837 -0.178975 -0.912861 -0.103437 0.114872 0.550293 0.848538 1.07306 1.16619 1.12399 0.947747 
