-10 999972 12.9998 0.00591849 115383
-9.8 999972 12.9998 0.00591849 115383
-9.6 999949 12.9996 0.0109177 115382
-9.4 999908 12.9993 0.0197356 115380
-9.2 999837 12.9987 0.034946 115377
-9 999718 12.9978 0.0605903 115372
-8.8 999521 12.9963 0.102825 115363
-8.6 999206 12.9938 0.170736 115348
-8.4 998710 12.9899 0.277284 115325
-8.2 997952 12.984 0.440318 115290
-8 996822 12.9752 0.683501 115238
-7.8 995182 12.9624 1.03698 115162
-7.6 992863 12.9442 1.53756 115054
-7.4 989670 12.9193 2.22821 114906
-7.2 985389 12.8857 3.15668 114707
-7 979802 12.8418 4.37346 114447
-6.8 972695 12.7858 5.92892 114114
-6.6 963881 12.7162 7.87034 113699
-6.4 953213 12.6316 10.2389 113194
-6.2 940594 12.531 13.0674 112592
-6 925988 12.4138 16.3784 111890
-5.8 909421 12.2801 20.184 111085
-5.6 890975 12.13 24.4858 110179
-5.4 870781 11.9642 29.276 109173
-5.2 849010 11.7838 34.5393 108074
-5 825860 11.5898 40.2541 106886
-4.8 801541 11.3836 46.3947 105617
-4.6 776272 11.1667 52.933 104275
-4.4 750266 10.9405 59.8396 102866
-4.2 723730 10.7063 67.0849 101398
-4 696852 10.4655 74.6404 99878.2
-3.8 669809 10.2194 82.4786 98314.3
-3.6 642758 9.96913 90.5737 96712.3
-3.4 615838 9.71575 98.9014 95078.3
-3.2 589172 9.46027 107.439 93417.9
-3 562869 9.20357 116.166 91736.4
-2.8 537021 8.9465 125.061 90038.8
-2.6 511713 8.68983 134.106 88329.6
-2.4 487016 8.43428 143.28 86613.6
-2.2 462996 8.18059 152.563 84895.3
-2 439717 7.92952 161.93 83179.8
-1.8 417243 7.68188 171.354 81472.9
-1.6 395645 7.43867 180.797 79781.5
-1.4 375011 7.20115 190.208 78114.8
-1.2 355459 6.97108 199.512 76485.9
-1 337167 6.75105 208.593 74914.3
-0.8 320409 6.54513 217.264 73430.7
-0.6 305627 6.35978 225.218 72084.4
-0.4 293512 6.20506 231.972 70953.2
-0.2 284965 6.09411 236.871 70141.2
0 280507 6.03511 239.462 69718.7
0.2 278927 6.01305 240.363 69580.4
0.4 277890 5.99776 240.942 69498.4
0.6 277164 5.98616 241.333 69451.1
0.8 276632 5.97653 241.606 69429.5
1 276229 5.9675 241.799 69433.4
1.2 275915 5.95732 241.936 69473
1.4 275664 5.94315 242.032 69575.2
1.6 275457 5.92025 242.097 69792
1.8 275283 5.88144 242.139 70208.1
2 275132 5.81714 242.164 70945
2.2 274998 5.71648 242.174 72159.3
2.4 274877 5.56932 242.173 74033.4
2.6 274767 5.36908 242.163 76763.7
2.8 274665 5.11519 242.145 80544
3 274570 4.81451 242.12 85544.7
3.2 274482 4.48093 242.09 91883.5
3.4 274399 4.13324 242.054 99582.5
3.6 274321 3.79184 242.014 108518
3.8 274246 3.47521 241.969 118372
4 274172 3.19721 241.918 128630
4.2 274099 2.96569 241.862 138635
4.4 274023 2.78245 241.799 147724
4.6 273943 2.64441 241.728 155390
4.8 273855 2.54527 241.647 161391
5 273755 2.47729 241.552 165759
5.2 273634 2.43267 241.435 168725
5.4 273481 2.4045 241.286 170606
5.6 273271 2.38717 241.082 171712
5.8 272963 2.3764 240.784 172297
6 272486 2.36899 240.321 172533
6.2 271713 2.36247 239.571 172518
6.4 270426 2.35458 238.322 172277
6.6 268267 2.34278 236.215 171762
6.8 264655 2.32362 232.66 170846
7 258709 2.29216 226.721 169301
7.2 249220 2.24148 217.002 166779
7.4 234830 2.16325 201.66 162832
7.6 214669 2.05052 178.802 157035
7.8 189530 1.90403 147.699 149312
8 162761 1.73918 110.675 140377
8.2 139173 1.58435 73.7945 131763
8.4 122041 1.46482 43.8033 124972
8.6 111484 1.38759 23.6564 120516
8.8 105696 1.34393 11.9801 117971
9 102744 1.32129 5.83461 116641
9.2 101299 1.31011 2.77688 115982
9.4 100608 1.30473 1.3026 115665
9.6 100282 1.3022 0.604675 115515
9.8 100282 1.3022 0.604675 115515
