"t = 0.001"
-4.6 1e+06 13 6.08775e-10 115385
-4.4 1e+06 13 3.97371e-09 115385
-4.2 1e+06 13 2.48034e-08 115385
-4 1e+06 13 1.47796e-07 115385
-3.8 1e+06 13 8.3892e-07 115385
-3.6 1e+06 13 4.52525e-06 115385
-3.4 1e+06 13 2.31357e-05 115385
-3.2 999999 13 0.00011178 115385
-3 999998 13 0.000508712 115385
-2.8 999990 12.9999 0.00217275 115384
-2.6 999960 12.9997 0.0086733 115383
-2.4 999850 12.9988 0.0322081 115378
-2.2 999485 12.996 0.110679 115361
-2 998372 12.9873 0.349906 115309
-1.8 995300 12.9633 1.01146 115167
-1.6 987687 12.9037 2.65769 114814
-1.4 970910 12.7718 6.31958 114030
-1.2 938293 12.5126 13.577 112482
-1 882596 12.0613 26.4199 109764
-0.8 798977 11.3612 46.8878 105488
-0.6 687916 10.3813 76.6873 99397.4
-0.4 556126 9.1228 117.024 91440
-0.2 415301 7.61012 168.536 81858.4
0 277795 5.63459 228.223 73952.7
0.2 267673 4.64365 227.466 86464.2
0.4 257880 3.49604 222.507 110645
0.6 242918 2.64545 209.585 137737
0.8 215830 2.15365 180.391 150324
1 177467 1.84077 131.822 144614
1.2 141098 1.59739 77.0559 132496
1.4 117660 1.43305 35.6226 123157
1.6 106486 1.34994 13.6027 118323
1.8 102133 1.31656 4.5449 116363
2 100644 1.30502 1.38018 115681
2.2 100181 1.30141 0.388004 115468
2.4 100047 1.30037 0.101832 115406
2.6 100012 1.30009 0.0250664 115390
2.8 100003 1.30002 0.00580644 115386
3 100001 1.3 0.00126938 115385
3.2 100000 1.3 0.000262603 115385
3.4 100000 1.3 5.15367e-05 115385
3.6 100000 1.3 9.61746e-06 115385
3.8 100000 1.3 1.71035e-06 115385
4 100000 1.3 2.90454e-07 115385
4.2 100000 1.3 4.71914e-08 115385
4.4 100000 1.3 7.3487e-09 115385
4.6 100000 1.3 1.09844e-09 115385
4.8 100000 1.3 1.57572e-10 115385
5 100000 1.3 2.1421e-11 115385
5.2 100000 1.3 2.45969e-12 115385
5.4 100000 1.3 1.28365e-13 115385
5.6 100000 1.3 6.09834e-15 115385
